function	go	kt2440_set_name	nbrc14164_set_name	source_members	mapped_members	mapping_fraction
EDEMP		PP_KT2440_CARBON_STRESS__EDEMP	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__EDEMP	11	11	1.0
Fatty acid de novo synthesis		PP_KT2440_CARBON_STRESS__FATTY_ACID_DE_NOVO_SYNTHESIS	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__FATTY_ACID_DE_NOVO_SYNTHESIS	12	11	0.9166666666666666
Glucose uptake		PP_KT2440_CARBON_STRESS__GLUCOSE_UPTAKE	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__GLUCOSE_UPTAKE	14	14	1.0
PHA Metabolism		PP_KT2440_CARBON_STRESS__PHA_METABOLISM	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__PHA_METABOLISM	5	5	1.0
Proteolysis	GO:0006508	PP_KT2440_CARBON_STRESS__PROTEOLYSIS	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__PROTEOLYSIS	101	85	0.8415841584158416
TCA		PP_KT2440_CARBON_STRESS__TCA_CYCLE	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__TCA_CYCLE	21	21	1.0
cellular amino acid biosynthetic process	GO:0008652	PP_KT2440_CARBON_STRESS__AMINO_ACID_BIOSYNTHESIS	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__AMINO_ACID_BIOSYNTHESIS	117	109	0.9316239316239316
cellular amino acid catabolic process	GO:0009063	PP_KT2440_CARBON_STRESS__AMINO_ACID_CATABOLISM	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__AMINO_ACID_CATABOLISM	36	34	0.9444444444444444
glycogen biosynthetic process	GO:0005978	PP_KT2440_CARBON_STRESS__GLYCOGEN_BIOSYNTHESIS	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__GLYCOGEN_BIOSYNTHESIS	4	3	0.75
glycogen catabolic process	GO:0005980	PP_KT2440_CARBON_STRESS__GLYCOGEN_CATABOLISM	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__GLYCOGEN_CATABOLISM	6	5	0.8333333333333334
polyphosphate kinase activity	GO:0008976	PP_KT2440_CARBON_STRESS__POLYPHOSPHATE_KINASE_ACTIVITY	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__POLYPHOSPHATE_KINASE_ACTIVITY	3	3	1.0
β-oxidation		PP_KT2440_CARBON_STRESS__BETA_OXIDATION	PP_NBRC14164_ORTHOLOGS_OF_KT2440_CARBON_STRESS__BETA_OXIDATION	14	13	0.9285714285714286
