source_np	source_locus_tag	source_gene	kt2440_current_protein	nbrc14164_protein	nbrc14164_transcript	nbrc14164_locus_tag	nbrc14164_gene	identity_percent	query_coverage_percent	subject_coverage_percent	method	status
NP_742244.1	PP_0074	aroE	WP_010951480.1	WP_016497376.1	unassigned_transcript_69	PP4_RS00330	aroE	98.54	100.0	100.0	reciprocal_best_hit	mapped
NP_742252.1	PP_0082	trpA	WP_010951488.1	WP_016497383.1	unassigned_transcript_76	PP4_RS00365	trpA	97.026	100.0	100.0	reciprocal_best_hit	mapped
NP_742253.1	PP_0083	trpB	WP_010951489.1	WP_016497384.1	unassigned_transcript_77	PP4_RS00370	trpB	99.506	100.0	100.0	reciprocal_best_hit	mapped
NP_742263.2	PP_0093		WP_049588425.1	WP_016497393.1	unassigned_transcript_87	PP4_RS00420		91.62	100.0	100.28	reciprocal_best_hit	mapped
NP_742266.1	PP_0096	prlC		WP_016497396.1	unassigned_transcript_90	PP4_RS00435	prlC	98.097	100.0	98.273	direct_unique_best_hit	mapped
NP_742291.1	PP_0121	thrB	WP_003252998.1	WP_016497417.1	unassigned_transcript_115	PP4_RS00560		98.734	100.0	100.0	reciprocal_best_hit	mapped
NP_742314.1	PP_0144		WP_010951538.1	WP_016497437.1	unassigned_transcript_139	PP4_RS00680		94.872	100.0	100.0	reciprocal_best_hit	mapped
NP_742336.1	PP_0167	paxB	WP_003256004.1	WP_019471019.1	unassigned_transcript_172	PP4_RS00845		99.025	100.0	100.0	reciprocal_best_hit	mapped
NP_742353.1	PP_0184	argH		WP_016497479.1	unassigned_transcript_192	PP4_RS00940	argH	99.353	99.0	100.0	direct_unique_best_hit	mapped
NP_742368.1	PP_0199	qmcA		WP_016497493.1	unassigned_transcript_206	PP4_RS01010		95.161	100.0	99.2	direct_unique_best_hit	mapped
NP_742372.1	PP_0203										reciprocal_best_hit	unmapped
NP_742381.1	PP_0213	davD	WP_010951596.1	WP_016484375.1	unassigned_transcript_241	PP4_RS01185	gabD	99.167	100.0	100.0	reciprocal_best_hit	mapped
NP_742382.1	PP_0214	davT	WP_003255866.1	WP_016497525.1	unassigned_transcript_242	PP4_RS01190	gabT	97.882	100.0	100.0	reciprocal_best_hit	mapped
NP_742396.2	PP_0228		WP_003255846.1	WP_016497539.1	unassigned_transcript_257	PP4_RS01265	epsC	97.419	100.0	100.0	reciprocal_best_hit	mapped
NP_742436.1	PP_0269		WP_010951638.1	WP_016497578.1	unassigned_transcript_301	PP4_RS01485		95.144	100.0	100.0	reciprocal_best_hit	mapped
NP_742456.1	PP_0289	hisB		WP_009682881.1	unassigned_transcript_329	PP4_RS01610	hisB	99.492	94.0	100.0	direct_unique_best_hit	mapped
NP_742457.1	PP_0290	hisH	WP_010951658.1	WP_016497603.1	unassigned_transcript_330	PP4_RS01615	hisH	97.17	100.0	100.0	reciprocal_best_hit	mapped
NP_742459.1	PP_0292	hisA	WP_003255731.1	WP_016484508.1	unassigned_transcript_332	PP4_RS01625	hisA	99.184	100.0	100.0	reciprocal_best_hit	mapped
NP_742460.1	PP_0293	hisF	WP_003255729.1	WP_008091498.1	unassigned_transcript_333	PP4_RS01630	hisF	99.219	100.0	100.0	reciprocal_best_hit	mapped
NP_742470.1	PP_0303		WP_010951668.1	WP_016497614.1	unassigned_transcript_344	PP4_RS01685		99.66	100.0	100.0	reciprocal_best_hit	mapped
NP_742475.1	PP_0308		WP_003255700.1	WP_016497618.1	unassigned_transcript_348	PP4_RS01705		99.385	100.0	100.0	reciprocal_best_hit	mapped
